date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,-0.4,-4.4,1.7,7.9,2,,19.8,,1017.7,
2021-01-02 00:00:00,0.9,-1.1,2.2,0,2,,12.1,,1017.9,
2021-01-03 00:00:00,0.1,-2.8,1.1,1.3,2,,10.5,,1016,
2021-01-04 00:00:00,-2.6,-3.9,-0.6,0,2,,13.8,,1016.4,
2021-01-05 00:00:00,0.3,-1.7,2.8,0,2,,9.9,,1020.4,
2021-01-06 00:00:00,1.4,-1.7,4.4,0,2,,7.6,,1028.4,
2021-01-07 00:00:00,2.8,1.7,3.9,0,0,,16.6,,1028.2,
2021-01-08 00:00:00,1.3,-0.6,2.2,0,0,,20.5,,1025.4,
2021-01-09 00:00:00,0.2,-3.3,3.9,0,0,,11.9,,1026.7,
2021-01-10 00:00:00,-2,-3.9,-0.6,0,0,,8.8,,1028,
2021-01-11 00:00:00,-3.2,-5.6,-1.1,0,0,,20.9,,1025.5,
2021-01-12 00:00:00,-0.4,-3.3,3.9,0,0,,17.5,,1019.1,
2021-01-13 00:00:00,2.5,-0.6,5.6,0,0,,14.9,,1010.6,
2021-01-14 00:00:00,2.6,0.6,5,4.3,0,,15.6,,1001.5,
2021-01-15 00:00:00,1.4,-2.2,3.3,0,0,,11.6,,999.6,
2021-01-16 00:00:00,1,-2.2,2.8,1.8,0,,13.4,,1004,
2021-01-17 00:00:00,-0.6,-2.2,1.1,1.3,0,,12.9,,1007.4,
2021-01-18 00:00:00,-2.3,-4.4,-1.1,0,0,,16.8,,1013.9,
2021-01-19 00:00:00,-3.2,-6.7,0.6,1.3,2,,16.7,,1021.6,
2021-01-20 00:00:00,-4.5,-10,1.7,0,2,,22.4,,1019.9,
2021-01-21 00:00:00,2.1,-0.6,5.6,0,0,,25,,1008.5,
2021-01-22 00:00:00,-6.9,-10.6,-0.6,0,0,,18.6,,1021.2,
2021-01-23 00:00:00,-5.7,-11.7,-0.6,0,0,,9.9,,1028.9,
2021-01-24 00:00:00,-0.4,-2.8,1.7,0,0,,11.7,,1020.5,
2021-01-25 00:00:00,0.1,-1.1,1.1,2.5,5,,21.8,,1016.2,
2021-01-26 00:00:00,-0.8,-3.3,0.6,4.6,10,,25.7,,1013.2,
2021-01-27 00:00:00,-4,-9.4,-2.2,0,10,,18.8,,1029.1,
2021-01-28 00:00:00,-7.5,-11.7,-3.3,0,10,,11.1,,1037.6,
2021-01-29 00:00:00,-3.3,-7.2,0,0,8,,10.2,,1030.7,
2021-01-30 00:00:00,-0.5,-1.7,1.1,13.2,23,,26.6,,1018.7,
2021-01-31 00:00:00,-0.4,-1.7,1.1,12.7,38,,25.9,,1014.1,
2021-02-01 00:00:00,-1.4,-5,1.1,0,33,,19,,1023.2,
2021-02-02 00:00:00,-2.5,-6.1,0.6,0,28,,15.9,,1024.8,
2021-02-03 00:00:00,-3,-8.3,2.2,0,25,,9.6,,1020.8,
2021-02-04 00:00:00,0.1,-7.2,3.9,6.9,28,,24.2,,1003.2,
2021-02-05 00:00:00,-10,-12.8,-7.2,0,25,,34.8,,1007.4,
2021-02-06 00:00:00,-12.7,-15.6,-10,1.3,25,,17.4,,1019.9,
2021-02-07 00:00:00,-17.4,-21.1,-14.4,0,25,,14.5,,1026.8,
2021-02-08 00:00:00,-12.7,-16.7,-9.4,2.8,36,,3.8,,1028.5,
2021-02-09 00:00:00,-12,-16.1,-7.2,0,30,,12.5,,1030.3,
2021-02-10 00:00:00,-10.7,-13.9,-8.3,0.8,28,,14.6,,1031,
2021-02-11 00:00:00,-8.8,-15,-4.4,0.3,28,,17.5,,1031.5,
2021-02-12 00:00:00,-9.5,-12.8,-6.1,0.5,28,,17.1,,1030.3,
2021-02-13 00:00:00,-13.4,-17.8,-10,4.3,36,,18,,1028.9,
2021-02-14 00:00:00,-17.3,-19.4,-14.4,0.8,33,,19.8,,1034.4,
2021-02-15 00:00:00,-13.7,-17.2,-7.8,12.7,66,,24.2,,1027.4,
2021-02-16 00:00:00,-9.8,-13.3,-5.6,1.5,66,,17.8,,1021.1,
2021-02-17 00:00:00,-9,-14.4,-4.4,0,53,,7.2,,1029.9,
2021-02-18 00:00:00,-6.6,-9.4,-3.3,1.5,53,,6.8,,1028.9,
2021-02-19 00:00:00,-8.8,-13.9,-6.1,0,48,,15.5,,1027.7,
2021-02-20 00:00:00,-7.7,-15.6,-1.7,0,46,,9,,1029.4,
2021-02-21 00:00:00,-1.9,-7.2,3.3,4.8,41,,18.4,,1020.2,
2021-02-22 00:00:00,0.9,-3.3,4.4,0,36,,27.4,,1008.1,
2021-02-23 00:00:00,4.7,2.2,7.8,0,23,,17.2,,1008.8,
2021-02-24 00:00:00,4.7,0,7.2,0,10,,18.5,,1012.5,
2021-02-25 00:00:00,0.6,-4.4,4.4,0,10,,11.3,,1027.6,
2021-02-26 00:00:00,1.7,-4.4,5.6,0.8,5,,13.5,,1020.8,
2021-02-27 00:00:00,5.1,1.1,10,0.3,2,,12.2,,1016.1,
2021-02-28 00:00:00,5.5,1.1,9.4,2,2,,18.7,,1010,
2021-03-01 00:00:00,-0.9,-4.4,1.7,0,0,,14.7,,1024.3,
2021-03-02 00:00:00,0.6,-5.6,6.7,0,0,,17.1,,1023.7,
2021-03-03 00:00:00,6.7,1.7,15.6,0,0,,12.8,,1016.3,
2021-03-04 00:00:00,1.1,-1.1,3.9,0,0,,20.7,,1027,
2021-03-05 00:00:00,2.5,-3.9,10,0,0,,9.5,,1028.7,
2021-03-06 00:00:00,2.1,-2.8,8.9,0,0,,6.5,,1028,
2021-03-07 00:00:00,4.5,-3.9,11.1,0,0,,10.9,,1029.4,
2021-03-08 00:00:00,12,5.6,18.3,0,0,,19.2,,1025.4,
2021-03-09 00:00:00,13.4,6.1,20.6,0,0,,17.4,,1022.7,
2021-03-10 00:00:00,16.1,12.8,20.6,0,0,,31.9,,1013,
2021-03-11 00:00:00,11.6,6.1,17.8,1.5,0,,24.9,,1016.7,
2021-03-12 00:00:00,6.5,2.2,12.8,0,0,,12,,1030,
2021-03-13 00:00:00,7.7,0.6,15.6,0,0,,7.2,,1030.2,
2021-03-14 00:00:00,5.8,3.3,8.3,0,0,,23.4,,1028.2,
2021-03-15 00:00:00,1.4,-1.1,4.4,3.8,2,,27.7,,1022.8,
2021-03-16 00:00:00,1.8,0.6,3.3,0,0,,10.7,,1016.8,
2021-03-17 00:00:00,2.7,0.6,5,14.5,0,,18.2,,1016,
2021-03-18 00:00:00,4,2.8,6.1,6.4,0,,37.9,,1016.4,
2021-03-19 00:00:00,3.9,0.6,7.8,0,0,,20.9,,1032.8,
2021-03-20 00:00:00,6.8,0,14.4,0,0,,9.8,,1033.1,
2021-03-21 00:00:00,11.5,3.9,18.9,0,0,,15.1,,1025.6,
2021-03-22 00:00:00,13.9,8.3,20,0,0,,16.2,,1018.3,
2021-03-23 00:00:00,14.2,11.1,18.9,3.6,0,,17.9,,1011.1,
2021-03-24 00:00:00,13.1,8.9,15.6,0,0,,27.2,,1005.3,
2021-03-25 00:00:00,7.7,3.3,10,5.1,0,,19.8,,1010.8,
2021-03-26 00:00:00,3.9,2.2,5.6,1,0,,13.8,,1015.8,
